,Hotel Name,Rating,Price,Hotel URL,Descriptions,Treatment_Period,Treatment_City
0,"Avenida da Liberdade Area, Bright and Newly Renovated 2 Bedroom Apartment, Lisbon Historical Center","7,8",€ 974,https://www.booking.com/hotel/pt/cardal-lisboa.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Aqugxa0GwAIB0gIkOTg5MzRhMmYtMzUxYi00MzY4LWJjZjMtMmNjMDhkY2VjZmY02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e3bb7f2424bd0049&srepoch=1706119501&all_sr_blocks=214722701_333370770_2_0_0&highlighted_blocks=214722701_333370770_2_0_0&matching_block_id=214722701_333370770_2_0_0&sr_pri_blocks=214722701_333370770_2_0_0__97420&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Avenida da Liberdade Area, Bright and Newly Renovated 2 Bedroom Apartment, Lisbon Historical Center es un alojamiento con una buena ubicación en el centro de Lisboa que ofrece balcón. El alojamiento está a menos de 1 km de Plaza Rossio y dispone de wifi gratis en todo el alojamiento.

Este apartamento consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y secador de pelo. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como Teatro Nacional Doña María II, Plaza del Comercio y Miradouro da Senhora do Monte. El aeropuerto más cercano (Aeropuerto de Lisboa Humberto Delgado) está a 8 km.",0,0
1,The Emerald House Lisbon - Curio Collection By Hilton,"8,9",€ 904,https://www.booking.com/hotel/pt/the-emerald-house-lisbon-curio-collection-by-hilton.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Aqugxa0GwAIB0gIkOTg5MzRhMmYtMzUxYi00MzY4LWJjZjMtMmNjMDhkY2VjZmY02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e3bb7f2424bd0049&srepoch=1706119501&all_sr_blocks=798278301_340028286_2_34_0&highlighted_blocks=798278301_340028286_2_34_0&matching_block_id=798278301_340028286_2_34_0&sr_pri_blocks=798278301_340028286_2_34_0__90392&nad_id=dc901e03-0596-4786-8e52-feaefbcc77e2_0&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjhwUmN6WEcrbFVwMHdONFg4UTFmSW9SNWFNQmdEMG1hUitzNzE2bW1KQitldm41NmluZmQzM0IrdXVEdVRTditxMDhmYWFBS24rem51RmJwcUxOR051QjVDTTdpc0Z6NndjRXpNUi9RV1RYWitPOVhMSU0zU0dMd1d6NXRKaWQ2RFdBcGhOK212SlhaZ2ducXJjalJrKzNLdG1zeHJFdGZSN3U0cXZSWjJwcUhLTlp2TWNoZGUvYlovVm5CYmxrUUhYSkREWkcyTE9SUzk4ZXk5U1VxcFNMYUtmZDNJZ0VsNEp1dE1FSUtpNWY4Um5objBBT2luaU1YRE5yYWZzMUhDdG5ESmhUOHBUTklrTDl2UkF5c0RqeEIrV0p6Y2RwbmFyRVUzcVZ6RGVvajVhTXBRL2JUVFNkaXM2SWJlOTEzTm1YUzIvODBZNWFSWll0OWo1MHFEbm9TVm4waTZzRlo1M1ByMTVLdnFMdHhOVW0wSFhsUXZhcGZXM3BSZVN4NUhJdjZKZHVlRW9KamMwcFBERmMrb3V5TS9BYmM4SGMyL2FjaDByWWRNcWZTbXVCSUlidE4yMXdmSDlYQ3RFbU5zTmhhTlZqYlVlR0FkUC9SelpqRWZjZERpVCtVbFZzVGxydDY2bTlKTkxUWWxEN3NsWlNTbFhCeVF3eFJQQXhwUC9EN0IxaVROS08vOUhGa3h5dlY4TFVKYm85U1BRaVl2WTZQM1pZVlVpL1lKTDEzK21na1pPRXhERnRtbEJQNXlzby92Z24wd2doNUwwZENWWW9EUENKTmlYSFpkVk5jTk5BVE53Z0tzZ3BPT3Q3dEx5YjQzUXM1NVBFUVJ4MWVxVkQ3ZkMzcDNrWmhQbElPbUZZZ244VTB5MHRpSlp4ZXZKb1ZBNWVRb09QYnZUbDIrZ0Y1K2U3eGdCQi8xcE1FZVRESHhJQzV4ZGNTM09RWGpCOTA3Qjh1ZHNkVk9vRHNOSk1laGdDY3ZhUk1NcmV3NGwrZTVSNUR0MGJpTDZQK0p3dFEwMlZhOXQ3dkFpemdlb0pxMUlITUJJY213dlJMcVpXZTFFSTZQYjJLRnFITGdjS2p2SWYybG10SHlNNXhVR3JSTi91ZDJxREQxY1dHdjVocFYwemJOLzhLMVZVcmVjQUlFaGIrVWQ4VVc0YTNrVE8wMXR3elhTUkNMVmNMMlF0K3o4dG9xNHB2RVNweUNkNGtaUjF3WkVkZGxhVDUwRVpRSk8vSHIwN0w3cTZFQis2cWgxeVB4QnRTNEp4YnR3QVptZUxLcUYrcWJXbWN1UTJKM0YxcmVyWTdxTkY2WnZ1cDlMMzF5MWF1Q0ZKaVZpRXNyQVdHR3JXY01OcUtzenRPK3hhcGh5aEMwZE4rTzlKVmZVVkd3TTFRYnNJU2RlUmhndy9mSEVLeWRlK0dwdmQxeTNYTEFnSGpuckhPbUJjK21iUTNJZWNVN2huNDQ2ZVVGUWJaSHVySmdsdUUyRGRLck15WHo2d2svR0tDcWpkQmw3SjJKMGo4NE0va3dJTkUrdmdoTTgxNmViK2d1UlZjYzI2YVNRM1lINGpqMDJJY0pkYjJlZ1VkZUEzZUV1eGZ0RnNlRUJjWm1QMCtEM3BoR1FMNldMYy9ENlp0MkFkK1U1YzJ5MzNoN25ocjVhRHFhay9pVXhYQzRjbWtpbWJsby9uUU5GUFdZeDdrZEhZVDhoa295TXE0WXlhT2VIdHFSZFVIbG9xK0E3USt6UjBLUmhHWXk3emo2cnh4T21LcFV2TFVobXFsK1QxYXZTbHdWem5CbjdHbEJwMHpwNzhEVHZFRkF3Njc0NG1UZ05iTytIcU1FakxOZktFcnp6UVpzZ005SGphZnZtNWY3SGNUYWd3UE5iSS84dkwzbFNkcDYyR1ZlSnRYbGd4SWRXSkt1MndzVGNKVTROcTN1eWRIZFlUTzB6SU9LUHF1cFFqZDBMM3ZwM1FoMDQ3dy92SnByZzJjeGltRVdORGQ4WkhmODk0SFYvdDQzeDI2ZjRkRGxjQTAvS1RMRVRBQ2R4MzVIWGhBNUJlN285Q1krV0FMdzg3MS9XckZiNVR1bkJRTC81VVlxdFFlSVE2MzFobFRsbU93TkNMVWZRWUJBZkNhbElrY1MzUlN3RXlRVDNYaXJCbGtra1p4bjM5SkFaSDBYSGI2cVpDWTk1d0FVdjhUeityQTJrTzlFbmx0R3V3N0NFWVZZbkJNSnlZdVl6NFUwNkU4MWJvTE1WQ2o5cVJOdk5tanBPTkJLalhEL3JqMTEwbDdicnVxMFNMdXpKWXU0QXN2elV1TUYzMVNIMXhYSnpVN3dCbWVUdG1QSFBVT2hVWHJKc1NQeVY5MUVDQW02cGJ4ZW5EMkh4dUhBSG5SY2w0Y2QvNTgvbHFiWjBqTmYxYlVNV052elNPcnByZXVhb1c5UFJaclRHdEhvMnFyUE5PUzZUdW85R2RvM21vMExRTTV0YjMrSXp0WmRNNWR3M1VjNW5FcG0rcGxNR1kvOE5PRmhnaTRGZVBBOXFPczVqcFVXMk5wYUN5K0kvQ04vYnR2dW5qVEZBb1phb2x2dmwyekZ0aGpuNUE3S3lHOHVTcXNJdTQ3S3F2TlkrZVZiNFVZakpSeWpxSTQyUFpZY3VBSzRSREs0MUNUWkc1bHQ2Z1VvV1NTeXZPNlFyWmtkRHl6RkVEaEU4UzlqcjVRZkpLL2lmSW94TDlLY1BZbHdHOTBXUmJsUThJOEh1ZlRQcXYwYzlZb0xyU0JHMTR2bGpMQkVUZzNudmVQbjcvcWRwMUVoTkFheHBvUDRmUnNPSzVIaW5WV0FCSTVhdmNPbmxid2pKU2hKZEtJWk10UU5uRUVML2lOQUswS1lRN2JXNkEvY1VtVDhzMFZYVjl0aWtVU2p5QjNtRkxuWGhMUVpuUWRLcXc1RFZJbXJWUWJwcDRjV0lLSmRaMlRoWDB1L05XOGpzWGtzdXpMckNONGhmaC8wbjJRVW0wWGpyaXIzQllNdEJsU0pqRkxtSFNxN3dQNXlKVjlNYWE5dW8wdVF5MWVCSDBGRXJYcEF3aS9IenhjS0tOWWNDTGppNjFXNFl1ZkVBMnQyV3JrTnh2cmR1T0sxaHZGeHNYYXhnMGFvaFpBTDJyZk0zcFM4UTZVZWZNNVZqSnoybk8xZGhMQi9OL09DZGtxeVhuN0hJNk5wQXc3SEtNS0l3VWRZRk9nVFNhb0ZtZFNDazhkY3FkM1hCZFl4NjR2R0VxbTc0QmtrL2Z6WVhmcVAxRVduYVNCOXFXY051MzZTeFNGZzB0S3I2VFpyeHBGQWxzRlE2ZmdiM1pFbUxMeFFPY0oifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"The Emerald House Lisbon - Curio Collection By Hilton es un alojamiento de 4 estrellas que se encuentra en Lisboa, a 3,5 km de Plaza del Comercio, y que dispone de centro de fitness, restaurante y bar. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratisen todo el alojamiento. Este alojamiento libre de humo está a 4 km de Plaza Rossio.

El hotel ofrece habitaciones con aire acondicionado, armario, cafetera, minibar, caja fuerte, TV de pantalla plana y baño privado con ducha. The Emerald House Lisbon - Curio Collection By Hilton ofrece algunas habitaciones con balcón, y todas tienenhervidor.

En el alojamiento se puede disfrutar de un desayuno buffet o continental.

Castillo de San Jorge está a 4 km del alojamiento, y Teatro Nacional Doña María II está a 4,2 km. El aeropuerto más cercano (Aeropuerto de Lisboa Humberto Delgado) está a 10 km del alojamiento.",0,0
2,Anjo Azul,"9,3",€ 456,https://www.booking.com/hotel/pt/anjo-azul.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Aqugxa0GwAIB0gIkOTg5MzRhMmYtMzUxYi00MzY4LWJjZjMtMmNjMDhkY2VjZmY02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e3bb7f2424bd0049&srepoch=1706119501&all_sr_blocks=213488612_377152229_2_0_0&highlighted_blocks=213488612_377152229_2_0_0&matching_block_id=213488612_377152229_2_0_0&sr_pri_blocks=213488612_377152229_2_0_0__45600&from=searchresults#hotelTmpl,"El Anjo Azul es un establecimiento renovado que data del siglo XVIII y presenta una decoración moderna y una fachada con encanto alicatada con azulejos portugueses. Está ubicado en una calle tranquila del centro histórico de Lisboa, a solo 300 metros de la plaza de Camões, en Chiado. Además, se halla a 5 minutos a pie de la plaza Rossio y a poca distancia a pie de los bares animados de Bairro Alto.

El establecimiento ofrece habitaciones dobles, triples, familiares y con 2 camas individuales. Algunas incluyen zona de cocina. Otras tienen zona de estar. Cada habitación cuenta con baño privado, TV de pantalla plana y caja fuerte.

Hay varios restaurantes tradicionales portugueses a 2 minutos a pie. El cercano Bairro Alto es famoso por sus bares animados y sus numerosos restaurantes populares.

La recepción está abierta las 24 horas. El Anjo Azul proporciona WiFi gratuito en todas las instalaciones. Hay consigna de equipaje y se proporciona un servicio de lavandería.

El famoso funicular Bica se encuentra a 200 metros del Anjo Azul. El puerto de cruceros y la zona de la ribera del Tajo están a 9 minutos a pie. La plaza Rossio se halla a 800 metros. El aeropuerto Humberto Delgado de Lisboa, situado a 7 km del Anjo Azul, es el más cercano.",0,0
3,Vocation house off relax,N/A,€ 328,https://www.booking.com/hotel/pt/vocation-house-off-relax.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Aqugxa0GwAIB0gIkOTg5MzRhMmYtMzUxYi00MzY4LWJjZjMtMmNjMDhkY2VjZmY02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e3bb7f2424bd0049&srepoch=1706119501&all_sr_blocks=1073553901_380458735_3_0_0&highlighted_blocks=1073553901_380458735_3_0_0&matching_block_id=1073553901_380458735_3_0_0&sr_pri_blocks=1073553901_380458735_3_0_0__32800&from=searchresults#hotelTmpl,"Vocation house off relax se encuentra en Lisboa, a 3,8 km de Estádio da Luz y a 10 km de Plaza Rossio, y ofrece alojamiento con equipamiento como wifi gratis y TV de pantalla plana. Este apartamento está a 10 km de Teatro Nacional Doña María II y a 10 km de Miradouro da Senhora do Monte.

Este apartamento con aire acondicionado consta de 1 dormitorio independiente, una sala de estar, una zona de cocina totalmente equipada y 1 baño.

Plaza del Comercio está a 10 km del alojamiento, y Monasterio de los Jerónimos está a 10 km. El aeropuerto más cercano (Aeropuerto de Lisboa Humberto Delgado) está a 7 km del alojamiento.",0,0
4,RA PARAISO,"7,8",€ 340,https://www.booking.com/hotel/pt/ra-paraiso.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Aqugxa0GwAIB0gIkOTg5MzRhMmYtMzUxYi00MzY4LWJjZjMtMmNjMDhkY2VjZmY02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e3bb7f2424bd0049&srepoch=1706119501&all_sr_blocks=728544702_318804009_2_0_0&highlighted_blocks=728544702_318804009_2_0_0&matching_block_id=728544702_318804009_2_0_0&sr_pri_blocks=728544702_318804009_2_0_0__34000&from=searchresults#hotelTmpl,"RA PARAISO se encuentra a 2,1 km del centro de Lisboa y ofrece salón de uso común y bar. Se ofrece wifi gratis en todo el alojamiento.

Hay un baño privado totalmente equipado con ducha y secador de pelo.

Cerca del alojamiento hay puntos de interés como Miradouro da Senhora do Monte, Plaza del Comercio y Castillo de San Jorge. El aeropuerto más cercano (Aeropuerto de Lisboa Humberto Delgado) está a 9 km.",0,0
5,Hotel Gat Rossio,"8,5",€ 632,https://www.booking.com/hotel/pt/gat-rossio.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Aqugxa0GwAIB0gIkOTg5MzRhMmYtMzUxYi00MzY4LWJjZjMtMmNjMDhkY2VjZmY02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e3bb7f2424bd0049&srepoch=1706119501&all_sr_blocks=4461202_361617718_0_2_0&highlighted_blocks=4461202_361617718_0_2_0&matching_block_id=4461202_361617718_0_2_0&sr_pri_blocks=4461202_361617718_0_2_0__63200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Gat Rossio goza de una ubicación céntrica en una tranquila calle detrás de la Plaza Restauradores y la estación de metro. Ofrece habitaciones ultramodernas con muebles de diseño totalmente blancos, terraza al aire libre y WiFi gratuita.

Las habitaciones incluyen aire acondicionado, TV de pantalla plana por cable, escritorio y baño. Algunas tienen balcón.

El Hotel Gat Rossio está muy bien ubicado, cerca de numerosos sitios para comer platos tradicionales de la rica gastronomía de Lisboa.

El hotel Gat Rossio está a 10 minutos a pie del emblemático castillo de San Jorge, a 50 metros de la estación de tren de Rossio, a unos metros de la parada del autobús que va al aeropuerto de Portela y a 4 minutos a pie de la avenida da Liberdade.",0,0
6,New Style Lisbon Hotel,"8,9",€ 610,https://www.booking.com/hotel/pt/estrela-dos-santos.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Aqugxa0GwAIB0gIkOTg5MzRhMmYtMzUxYi00MzY4LWJjZjMtMmNjMDhkY2VjZmY02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e3bb7f2424bd0049&srepoch=1706119501&all_sr_blocks=4968205_88536375_0_1_0&highlighted_blocks=4968205_88536375_0_1_0&matching_block_id=4968205_88536375_0_1_0&sr_pri_blocks=4968205_88536375_0_1_0__61000&from=searchresults#hotelTmpl,"El New Style Lisbon Hotel está situado en Lisboa, a solo 120 metros de la estación de metro de Anjos, que ofrece conexiones con Cais do Sodré. Cuenta con recepción 24 horas, consigna de equipaje y sala de desayunos. Hay conexión Wi-Fi gratuita en todo el establecimiento.

Todas las habitaciones están equipadas con TV de pantalla plana por cable, set de té y café y baño privado. Algunas incluyen armario y escritorio.

En la zona hay varios restaurantes tradicionales portugueses.

El New Style Lisbon Hotel se encuentra a 1,4 km del Hot Club de Portugal y a menos de 20 minutos a pie del Coliseu dos Recreios. El hotel ofrece servicio de alquiler de coches.",0,0
7,Republica83-Campo Pequeno Home,"8,3",€ 355,https://www.booking.com/hotel/pt/republica83-campo-pequeno-home.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Aqugxa0GwAIB0gIkOTg5MzRhMmYtMzUxYi00MzY4LWJjZjMtMmNjMDhkY2VjZmY02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e3bb7f2424bd0049&srepoch=1706119501&all_sr_blocks=391268312_360732003_0_0_0&highlighted_blocks=391268312_360732003_0_0_0&matching_block_id=391268312_360732003_0_0_0&sr_pri_blocks=391268312_360732003_0_0_0__35500&from=searchresults#hotelTmpl,"Republica83-Campo Pequeno Home se encuentra en Lisboa, a 3,9 km de Plaza Rossio, y ofrece vistas a la ciudad. El alojamiento está a 4 km de Teatro Nacional Doña María II, a 4,3 km de Estádio da Luz y a 4,4 km de Plaza del Comercio. El alojamiento está a 2 km del centro de la ciudad y a 3,7 km de Miradouro da Senhora do Monte.

Las habitaciones incluyen aire acondicionado, TV de pantalla plana con canales por cable, nevera, cafetera, ducha, artículos de aseo gratuitos y escritorio. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado con secador de pelo. Algunas habitaciones también tienen terraza. Todas las unidades cuentan con armario y hervidor.

Castillo de San Jorge está a 5,1 km del alojamiento, y Oceanario de Lisboa está a 7,4 km. El aeropuerto más cercano (Aeropuerto de Lisboa Humberto Delgado) está a 6 km del alojamiento.",0,0
8,Empire Lisbon Hotel,"8,6",€ 616,https://www.booking.com/hotel/pt/empire-lisbon.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Aqugxa0GwAIB0gIkOTg5MzRhMmYtMzUxYi00MzY4LWJjZjMtMmNjMDhkY2VjZmY02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e3bb7f2424bd0049&srepoch=1706119501&all_sr_blocks=197158001_243625235_0_1_0&highlighted_blocks=197158001_243625235_0_1_0&matching_block_id=197158001_243625235_0_1_0&sr_pri_blocks=197158001_243625235_0_1_0__61600&from=searchresults#hotelTmpl,"El Empire Lisbon Hotel está situado cerca del centro de Lisboa, a solo 10 minutos de la estación de metro de Alameda. La plaza Marqués de Pombal se encuentra a 10 minutos en metro y las exclusivas tiendas de la avenida Liberdade, a 15 minutos en metro.

Las habitaciones tienen aire acondicionado, TV de pantalla plana por cable y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. Hay WiFi gratuita en todas las instalaciones del Empire Lisbon Hotel.

Todos los días se sirve un desayuno continental en la sala de desayunos del Empire Lisbon. A menos de 10 minutos a pie hay una amplia variedad de restaurantes y sitios para comer. El bar del hotel sirve cócteles y bebidas. El Empire Hotel también ofrece servicio de recepción las 24 horas del día.

Saldanha, una de las zonas comerciales más frecuentadas del centro de Lisboa, se encuentra a 1,6 km. El barrio de Rossio está situado a 3,8 km del Empire Lisbon Hotel y Chiado, a 4,8 km. El Barrio Alto se encuentra a 5 km y cuenta con varios bares, restaurantes y cafeterías. El aeropuerto Humberto Delgado de Lisboa está situado a 4,4 km.",0,0
9,PH Downtown Suites,"7,7",€ 556,https://www.booking.com/hotel/pt/ph-downtown-suites.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Aqugxa0GwAIB0gIkOTg5MzRhMmYtMzUxYi00MzY4LWJjZjMtMmNjMDhkY2VjZmY02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e3bb7f2424bd0049&srepoch=1706119501&all_sr_blocks=158477102_373223848_2_1_0&highlighted_blocks=158477102_373223848_2_1_0&matching_block_id=158477102_373223848_2_1_0&sr_pri_blocks=158477102_373223848_2_1_0__55600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El PH Downtown Suites es un Bed & Breakfast ubicado en la 1ª planta de un edificio restaurado en el corazón de Lisboa, a 600 metros de Chiado y Rossio. Ofrece WiFi gratuita en todas sus instalaciones y se encuentra a 5 minutos a pie de la estación de metro Terreiro do Paço.

Todas las habitaciones del PH Downtown Suites cuentan con baño privado con ducha y algunas incluyen zona de estar. También hay toallas y ropa de cama.

Todos los días se sirve el desayuno. Este B&B dispone de cocina compartida. Alternativamente, hay varios restaurantes a solo unos pasos del establecimiento.

El barro de Alfama, conocido por sus casas de fado, y el emblemático castillo de San Jorge se encuentran a 10 minutos a pie. El PH Downtown Suites está bien comunicado en metro con el aeropuerto internacional de Lisboa, situado a 8 km.",0,0
10,Hotel Alif Avenidas,"8,3",€ 860,https://www.booking.com/hotel/pt/alif-avenidas.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Aqugxa0GwAIB0gIkOTg5MzRhMmYtMzUxYi00MzY4LWJjZjMtMmNjMDhkY2VjZmY02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=e3bb7f2424bd0049&srepoch=1706119501&all_sr_blocks=27090701_376412264_2_2_0&highlighted_blocks=27090701_376412264_2_2_0&matching_block_id=27090701_376412264_2_2_0&sr_pri_blocks=27090701_376412264_2_2_0__86000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El hotel Alif Avenidas se encuentra en Lisboa, frente a la estación de metro de São Sebastião. Este alojamiento ofrece recepción 24 horas y habitaciones con aire acondicionado y TV LCD.

Las habitaciones amplias del hotel Alif tienen suelo de parquet y muebles modernos. Incluyen caja fuerte para ordenador portátil y minibar. El baño es privado y está equipado con secador de pelo.

El Hotel Alif Avenidas también dispone de servicio de conserjería, consigna de equipaje y servicio de lavandería.

El hotel Alif Avenidas está a menos de 12 minutos en coche del centro de Lisboa. El Museo Calouste Gulbenkian se encuentra a 8 minutos a pie.",0,0
11,Next Level Premium Hotels,"9,1",€ 538,https://www.booking.com/hotel/pt/next-level-premium-hotels.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Aqugxa0GwAIB0gIkOTg5MzRhMmYtMzUxYi00MzY4LWJjZjMtMmNjMDhkY2VjZmY02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-19&checkout=2024-06-23&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=e3bb7f2424bd0049&srepoch=1706119501&all_sr_blocks=994692109_372378240_2_2_0&highlighted_blocks=994692109_372378240_2_2_0&matching_block_id=994692109_372378240_2_2_0&sr_pri_blocks=994692109_372378240_2_2_0__53800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Next Level Premium Hotels se encuentra en el centro de Lisboa, a 1,7 km de Miradouro da Senhora do Monte y a 1,9 km de Plaza Rossio. El alojamiento está a 1,8 km de Teatro Nacional Doña María II, a 3,2 km de Plaza del Comercio y a 3,4 km de Castillo de San Jorge. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, salón de uso común y wifi gratis en todo el alojamiento.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, minibar, caja fuerte, TV de pantalla plana y baño privado con ducha. Todas las habitaciones cuentan con hervidor, algunas ofrecen balcón y otras también tienen vistas a la ciudad. En Next Level Premium Hotels, todas las habitaciones tienen ropa de cama y toallas.

Estádio da Luz está a 5,8 km del alojamiento, y Monasterio de los Jerónimos está a 7,3 km. El aeropuerto más cercano (Aeropuerto de Lisboa Humberto Delgado) está a 7 km.",0,0
