,Hotel Name,Rating,Price,Hotel URL,Descriptions,Treatment_Period,Treatment_City
0,Succeed Campo Pequeno Suites,"7,6",€ 380,https://www.booking.com/hotel/pt/succeed-campo-pequeno-suites-lisboa.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArSwxK0GwAIB0gIkMWEwYjhkNzUtYmQzNy00NTAwLWEyN2EtYTQ4YzEyNzQ5NDQx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=67a6634721330180&srepoch=1706105233&all_sr_blocks=1051493104_378159955_0_0_0&highlighted_blocks=1051493104_378159955_0_0_0&matching_block_id=1051493104_378159955_0_0_0&sr_pri_blocks=1051493104_378159955_0_0_0__38000&from=searchresults#hotelTmpl,"Succeed Campo Pequeno Suites es un alojamiento bien ubicado en Lisboa que ofrece jardín, wifi gratis y habitaciones con aire acondicionado. Este alojamiento, que cuenta con cocina compartida, también ofrece terraza solárium. Este alojamiento libre de humo se encuentra a 4 km de Miradouro da Senhora do Monte.

Las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones incluyen baño privado, artículos de aseo gratuitos y ropa de cama.

En recepción se habla inglés, español, francés y portugués, y el personal está siempre dispuesto a echar una mano.

Plaza Rossio está a 4 km del alojamiento, y Teatro Nacional Doña María II está a 4,2 km. El aeropuerto más cercano (Aeropuerto de Lisboa Humberto Delgado) está a 5 km del alojamiento.",1,0
1,The Emerald House Lisbon - Curio Collection By Hilton,"8,9",€ 972,https://www.booking.com/hotel/pt/the-emerald-house-lisbon-curio-collection-by-hilton.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArSwxK0GwAIB0gIkMWEwYjhkNzUtYmQzNy00NTAwLWEyN2EtYTQ4YzEyNzQ5NDQx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=67a6634721330180&srepoch=1706105233&all_sr_blocks=798278301_340028286_2_34_0&highlighted_blocks=798278301_340028286_2_34_0&matching_block_id=798278301_340028286_2_34_0&sr_pri_blocks=798278301_340028286_2_34_0__97236&nad_id=f6949cae-3487-4dac-ad59-bfaf20ca4df3_0&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InZ3b1prOGpUekNlbElyVjNtZmhKMS9CalZocThVSlVieXZJTDA3ZWJMMW84ay81eE1CR3hZYm10SU52bk5tYllxaXRSZEtzUUY1d1d1b3l6QTRqOXp4YU9oWllxY2I5S211cmhwTXBrQ01iYXV5dzNJbE1yZk1JRHo0V3VnTmlDNjhFTjdPbUxnd0l4SlQ2YlNTeU1oM0J6cTgrR2U2eUFCNG92UFZOMFN0YzA3VUVYQzRkaDZud0hFRVRzL2lzWDRnUCtFTUgzVlBFaHdkL1AwWUNtUFR5WU1EMUMrR2R4RTNMcGFUNGgyV1VyVTBGT0U3N0s5UmZHcnduV0JyVzVReVpoQ05CUnZhdDNFSDFSQk1aTjJWa3NhbExML2x6M2VtNm9RQytUZmpOamFXUllLOFBaajVrMGlsMU5tRDlRdC9Hd1dWRndCa3hDbkU5bmdsUUp6YXRqNmg1VGlHRmlsYnptN1Z6K2g1TDZXMHROcGliM3p1OTd5bEx0aHZkM2d4RlhmNXBDL0cwODdEMUNQZEFld0ExMmg2VTBjTWYxTjZxakNIY3hYSDJHZmF4Rjk2SjFkU1hVakt4S2Z6a2dmTHFMSU81WGFFMjh0bmsyYkVORHYzRlNlR1lMMXlkN0ZKS2xvT2VrQjZzUWhSMWZQU1lrQitYWFlXeUQwNmxuRWNuZ3pETHFwOGJPR0Z3bmVKakhQcDVXOWJHMkZrSUtTeEFPbVdHZG5KYy9vcXdpbXloQjJST01kNTk2UzNtYTI1ZUVxSGhiY2JYcTJnR283bENoRkl4cFFSUGFUbXJRWkk2RTIrbzZrVVJDeFV4UE9oa01LWVRpSEthSFQ3UFZ0S09vTWVnbG1xV1hZblI2VEhweC9rbG0reEJhc0VjNDVqYmxxMzNQTUVxOHV4ZzgvUEFSQURsN1FEaStXeXFNWU5GemRpTUtDeWlQcHlYZWphREh0WnFyZEI2L3BxVHN3Yi81Y01kQ3phNG9NUWpqWDJ6bWljamhRNjFxZ2lhVVRSQ0dmVzBoTlk2cy9aSUlQaGtIUkUxaHc1YWtYSGg5elhNckhLL1FGdEdsdGRrRzd2K29meE9iWVhLRE11U01zekNBRThvcHM4UDJNRG95R0dnNEZBTzJMSHh2OHRtb2gzRWtJL21QZCtzL043OEY0cDdSLzNnMGM3bXRqWGFYNnZ2R01ONTBCK1JGMjFtVDV0aW9hWkdtU2tBSXRNcnE2eHZqUlV3RGxZa0xzTWM1U2duYXc2bmd2QVZ1UEo3cksvS0ZCQWNUWU5GcnRHVFNKQUZDQUhxSmdoTDlWejZ3OE42bE1KTUNvV3FxbFVsQmpQZ2FWTTBnMmR4SnFaS2k5bVdCdkdXT1ZFRHJnWjkrdXhYRW4wbWxQRDIwRm95NnRQbTV3N29TNE1BeGhHTjRnVzJVZkdNOGUrV3RCazN5dlpxSXF6V1RxQUdJOStHOERTSUJCVDdmSlZ1cnNaV3RyMCtTbmxLc00xMS9Zdyt1YTUzeExreU1Pd1Z5bEd3bXJMcFJWWWNDVWFibElhTWpOekNPMEdRSHhEQm02VlpMVW90VUhUbjEzSG92dTBSNHZQQ2RocEx5VjRwRk9mNDhVUVA0NlpoRmNQNE9ZbjlZV0t4VUEvWGZScHBLV2laSzk0aHBNKzMwdVJ3cGdEb0dpZmVNTHBydUhPRHBnUXBXMEhxd0sxTVFCaGVIOVpqWGRhZlRabmVkQjA3TUFxOHZLYjFWWk4yN1NSaGpYaFRzTm85b012Ky9YbGQzUzZGY0wxQkt6Z0NTMVNtditONURkVEhoNm1reGZpcnY5RW15amtVU29CMGlkVC9nRFJLNGZSR2tOSm1TTHZrbEVZOEs5K2xiMnV6SmhzRHp1U0x3WEtiR3d6VTBjZDc0bWdRd0pWT3R3MEdKMG50TDRVQS95bkM3d1lHZm1JMTRzanFBb1lnS0JpUDY5SEtEUGpJNHFLbS92VVpsSzNJazdLMHE0ZllPc09Mc09tZDNrZ29jTU5LTTV3QkpIemU2RnpobC9PLzliemhhR25Bc0xoN2Q2UGZFWk5JZDFGUCtQc0p1OGUrdE5YMW1wSWFHcUpxcjFwVEJ5VXZOOUJPVmk1bTBGWE1PQW1XNkg4WTZmUTNkU2V3bGRHUCt4Ukg3ZXdzUWhtV2JjNVhVK29XRTgyTUhJT1VpZEZNdVBXVjdxMG43a0hsRUZLM0cxV3ExeURYSFpIUDRXOTg5VmUySDdyd3BYQ2hWSjh1SEpjdDRWcEZWQ1EzemVuL01xaW84ZEVWTmIxQ3QxNUR6aWQ3c2R1Tlo5dTNnazdEblJ2T01qR29HUm9mMGtQS2JyS0JZc0crS2gwd1p4K1d5eTA2NllHQjFKaG96NFhaVFlxeE5zclZsblhBNHF6MzFxUHR2alZZRVVjMlhrWTljeWRMMDlRdVZzRXJIMTFUcmlvRFlSTlpSUkFSQnBmTWZCUUxUcUpRY0N4UFIvUW9wZzFEbUtBNUwzSkEwVVhxT0ZvbUcrRUFyUXdLeTlseENoTWhDbDdzMzZTZWxJQVYycDFLWXNQV1kraHBxRHZOdmlZaTQ0akZZcW9sRjFXR2dFc2hUWHNhVG5YRHRPYWxVVkYwWEdUR25GVEw5eUdMU0FaVG1udldrQlYwcjZuVlk3Ynh4Z0ExSml0M05WN3hzMm8wMlc3Z0Jsb0tKTFhUb0lDcEx3WmhiQVhIby9lWlRhcHVoMXl4YzRYYm9LbjBjZnRUL2VPRDFKdnhNWEtXK1U2bG4waUExMzdwV0JMVTZqOGN0eUNxT2p1TUxTMWV2amoyaWlNMUtjaGJwREN5T1JZS2VkSTBvMzFLRUEwN3U2blVqcWlXR1dkU1BmcW0rR0tNVjdVYm1oU1VZWDVHd1VVSktadHg3YmN0cGQ2WU16NzJ3OFdrY3BMcVJ0cmNUVGFDRWJaWDdxb3RrbXFDRTlmTUZOQSt1V3NKMW81WjNoZVNrR0M0d0FuOUhGQ3o1NkNsSHltVUxVM3pCSnV1bmRoMVlWMWZoam5DSFZ6QW4ySzgza0krUHVyS0VJU3JCWngwOXRRa2RSb0dCQVh3OHRqZ3BMQnBaL3lnbUc3MUI5VGRMMms4SUIyVlVjTU1JS2lyM2NYWDZobUZaV01zaE56bUw2NUhIdUNqbFI0OGhDQlBubVJjazdUUmJnOW1JbVpwZjRRdkxRSGZ4clh3YkI2SzhXTjVNbTJ5aWlsT0dQRW93RjNjMEIvWnVFa2JmYy9hWVRyMjJVZkxVZlEyMTFHNk5lamNvY0t1cWlqenRURFZFNFFnVGRPb2oxMFU9In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"The Emerald House Lisbon - Curio Collection By Hilton es un alojamiento de 4 estrellas que se encuentra en Lisboa, a 3,5 km de Plaza del Comercio, y que dispone de centro de fitness, restaurante y bar. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratisen todo el alojamiento. Este alojamiento libre de humo está a 4 km de Plaza Rossio.

El hotel ofrece habitaciones con aire acondicionado, armario, cafetera, minibar, caja fuerte, TV de pantalla plana y baño privado con ducha. The Emerald House Lisbon - Curio Collection By Hilton ofrece algunas habitaciones con balcón, y todas tienenhervidor.

En el alojamiento se puede disfrutar de un desayuno buffet o continental.

Castillo de San Jorge está a 4 km del alojamiento, y Teatro Nacional Doña María II está a 4,2 km. El aeropuerto más cercano (Aeropuerto de Lisboa Humberto Delgado) está a 10 km del alojamiento.",1,0
2,Anjo Azul,"9,3",€ 416,https://www.booking.com/hotel/pt/anjo-azul.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArSwxK0GwAIB0gIkMWEwYjhkNzUtYmQzNy00NTAwLWEyN2EtYTQ4YzEyNzQ5NDQx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=67a6634721330180&srepoch=1706105233&all_sr_blocks=213488602_377152229_2_0_0&highlighted_blocks=213488602_377152229_2_0_0&matching_block_id=213488602_377152229_2_0_0&sr_pri_blocks=213488602_377152229_2_0_0__41600&from=searchresults#hotelTmpl,"El Anjo Azul es un establecimiento renovado que data del siglo XVIII y presenta una decoración moderna y una fachada con encanto alicatada con azulejos portugueses. Está ubicado en una calle tranquila del centro histórico de Lisboa, a solo 300 metros de la plaza de Camões, en Chiado. Además, se halla a 5 minutos a pie de la plaza Rossio y a poca distancia a pie de los bares animados de Bairro Alto.

El establecimiento ofrece habitaciones dobles, triples, familiares y con 2 camas individuales. Algunas incluyen zona de cocina. Otras tienen zona de estar. Cada habitación cuenta con baño privado, TV de pantalla plana y caja fuerte.

Hay varios restaurantes tradicionales portugueses a 2 minutos a pie. El cercano Bairro Alto es famoso por sus bares animados y sus numerosos restaurantes populares.

La recepción está abierta las 24 horas. El Anjo Azul proporciona WiFi gratuito en todas las instalaciones. Hay consigna de equipaje y se proporciona un servicio de lavandería.

El famoso funicular Bica se encuentra a 200 metros del Anjo Azul. El puerto de cruceros y la zona de la ribera del Tajo están a 9 minutos a pie. La plaza Rossio se halla a 800 metros. El aeropuerto Humberto Delgado de Lisboa, situado a 7 km del Anjo Azul, es el más cercano.",1,0
3,Cenário Catita Hostel,"7,4",€ 196,https://www.booking.com/hotel/pt/cenario-catita-hostel.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArSwxK0GwAIB0gIkMWEwYjhkNzUtYmQzNy00NTAwLWEyN2EtYTQ4YzEyNzQ5NDQx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=67a6634721330180&srepoch=1706105233&all_sr_blocks=321065705_310079778_2_0_0&highlighted_blocks=321065705_310079778_2_0_0&matching_block_id=321065705_310079778_2_0_0&sr_pri_blocks=321065705_310079778_2_0_0__19600&from=searchresults#hotelTmpl,"Cenário Catita Hostel está muy bien situado en el barrio de Estrella, Lisboa, a 1,9 km de Plaza del Comercio, a 1,8 km de Plaza Rossio y a 3,3 km de Castillo de San Jorge. El alojamiento se encuentra a 1,9 km de Teatro Nacional Doña María II, a 4,5 km de Miradouro da Senhora do Monte y a 5,4 km de Monasterio de los Jerónimos. El albergue libre de humo cuenta con wifi gratis en todo el alojamiento.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales vía satélite. En el albergue, cada habitación está equipada con ropa de cama y toallas.

Estádio da Luz está a 7,6 km del alojamiento, y Oceanario de Lisboa está a 10 km. El aeropuerto más cercano (Aeropuerto de Lisboa Humberto Delgado) está a 9 km del alojamiento.",1,0
4,PortoBay Liberdade,"9,0",€ 1.220,https://www.booking.com/hotel/pt/porto-bay-liberdade.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArSwxK0GwAIB0gIkMWEwYjhkNzUtYmQzNy00NTAwLWEyN2EtYTQ4YzEyNzQ5NDQx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=67a6634721330180&srepoch=1706105233&all_sr_blocks=83907303_91597089_0_2_0&highlighted_blocks=83907303_91597089_0_2_0&matching_block_id=83907303_91597089_0_2_0&sr_pri_blocks=83907303_91597089_0_2_0__122000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El PortoBay Liberdade, ubicado en el centro de Lisboa, es un hotel de 5 estrellas con la características de un complejo, pero en un entorno urbano. Este hotel boutique cuenta con piscina cubierta y WiFi gratuita en todas las zonas.

El PortoBay Liberdade, diseñado por el arquitecto Frederico Valsassina, conserva la fachada original de principios del siglo XX para crear un ambiente con reminiscencias del pasado y el presente. Las habitaciones disponen de zona de estar, escritorio, minibar, TV de pantalla plana con canales por cable y baño privado con artículos de aseo Rituals gratuitos. También hay una carta de almohadas.

El PortoBay Liberdade sirve un desayuno a diario. Este hotel alberga un bar.

Asimismo, el Porto Bay Liberdade cuenta con recepción 24 horas, instalaciones para personas con discapacidad, servicio de habitaciones, centro de negocios, servicio de lavandería y aparcamiento privado.

El PortoBay Liberdade se encuentra junto a la avenida da Liberdade y a 1,5 km de las principales zonas comerciales, entre ellas Rua Augusta y Chiado. La estación de metro Marquês de Pombal se halla a 150 metros, mientras que los grandes almacenes El Corte Inglés quedan a 20 minutos a pie. El aeropuerto internacional de Lisboa está a 7 km.",1,0
5,HF Fenix Garden,"8,6",€ 472,https://www.booking.com/hotel/pt/fenix-garden.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArSwxK0GwAIB0gIkMWEwYjhkNzUtYmQzNy00NTAwLWEyN2EtYTQ4YzEyNzQ5NDQx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=67a6634721330180&srepoch=1706105233&all_sr_blocks=4089215_385251615_0_0_0&highlighted_blocks=4089215_385251615_0_0_0&matching_block_id=4089215_385251615_0_0_0&sr_pri_blocks=4089215_385251615_0_0_0__47200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El elegante Hotel Fenix ​​Garden está situado en la plaza Marquês de Pombal, en el centro de Lisboa. El parque Eduardo VII y la estación de metro Marques Pombal están a pocos pasos, mientras que las tiendas y boutiques de lujo de la Avenida da Liberdade se encuentran a pocos pasos.

El HF Fénix Garden ofrece habitaciones luminosas con suelo de madera. Las habitaciones tienen aire acondicionado, WiFi gratuita, escritorio, TV por cable y baño privado con secador de pelo.

La cafetería sirve una variedad de aperitivos y bebidas. Los huéspedes pueden disfrutar de un desayuno recién hecho cada mañana y tomar un café preparado en una cafetera Nespresso.

Este hotel está muy cerca de una estación de metro que ofrece fácil acceso a todos los lugares de interés de la ciudad. En las inmediaciones hay muchos lugares de interés cultural y tiendas. Rossio se encuentra a 7 minutos en metro, mientras que el aeropuerto internacional Humberto Delgado de Lisboa está a 13,2 km.",1,0
6,Pensao Residencial Flor dos Cavaleiros,"6,0",€ 206,https://www.booking.com/hotel/pt/pensapso-residencial-flor-dos-cavaleiros.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArSwxK0GwAIB0gIkMWEwYjhkNzUtYmQzNy00NTAwLWEyN2EtYTQ4YzEyNzQ5NDQx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=67a6634721330180&srepoch=1706105233&all_sr_blocks=35211302_353104123_2_1_0&highlighted_blocks=35211302_353104123_2_1_0&matching_block_id=35211302_353104123_2_1_0&sr_pri_blocks=35211302_353104123_2_1_0__20600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Pensão Residencial Flor dos Cavaleiros se encuentra en el barrio de Socorro, ubicado en el centro de Lisboa. Está a 150 metros de las paradas de metro y autobús de la plaza Martim Moniz.

Las habitaciones del Flor dos Cavaleiros son sencillas y luminosas. Disponen de suelo y muebles de madera, TV por cable y baño privado o compartido. El establecimiento realiza todos los días un servicio de limpieza y de cambio de ropa de cama.

En las inmediaciones hay restaurantes de cocina local e internacional, además de varias tiendas.

El establecimiento está a 7 km del Parque das Nações y a 8 km de la torre de Belém y del Monumento a los Descubrimientos. Se encuentra a 10 minutos a pie del castillo de San Jorge y a 11 minutos a pie de las zonas de Alfama y Chiado.

El aeropuerto internacional de Portela queda a solo 20 minutos en transporte público.",1,0
7,Hotel LX Rossio,"7,0",€ 323,https://www.booking.com/hotel/pt/hotel-lx-rossio.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArSwxK0GwAIB0gIkMWEwYjhkNzUtYmQzNy00NTAwLWEyN2EtYTQ4YzEyNzQ5NDQx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=67a6634721330180&srepoch=1706105233&all_sr_blocks=25171503_0_2_0_0&highlighted_blocks=25171503_0_2_0_0&matching_block_id=25171503_0_2_0_0&sr_pri_blocks=25171503_0_2_0_0__32295&from=searchresults#hotelTmpl,"El Hotel LX Rossio está situado en el centro de Lisboa y ofrece habitaciones con aire acondicionado. Se encuentra a pocos pasos de la Praça do Comércio y del castillo de San Jorge. Además, proporciona WiFi de forma gratuita.

Las habitaciones del Hotel LX Rossio están equipadas con muebles de estilo tradicional y tienen TV vía satélite y baño privado.

El establecimiento alberga un bar donde se sirven aperitivos ligeros y bebidas frías y calientes.

Se ofrecen coches y bicicletas de alquiler para explorar la zona. El hotel dispone de recepción 24 horas y mostrador de información turística. El aeropuerto internacional de Lisboa está a 20 minutos en metro del Hotel LX Rossio.",1,0
8,Zenit Lisboa,"8,5",€ 696,https://www.booking.com/hotel/pt/zenitlisboa.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArSwxK0GwAIB0gIkMWEwYjhkNzUtYmQzNy00NTAwLWEyN2EtYTQ4YzEyNzQ5NDQx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=67a6634721330180&srepoch=1706105233&all_sr_blocks=3872305_369310944_0_42_0&highlighted_blocks=3872305_369310944_0_42_0&matching_block_id=3872305_369310944_0_42_0&sr_pri_blocks=3872305_369310944_0_42_0__69600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Zenit está situado en una avenida arbolada del centro de Lisboa y ofrece alojamiento moderno con atención a los detalles. Ofrece acceso directo a la Baixa desde de la parada de metro Saldanha y cuenta con gimnasio bien equipado.

Las habitaciones del Zenit Lisboa incluyen muebles de diseño, wifi gratuita y TV por cable. También disponen de escritorio y baño con secador de pelo.

El restaurante Traste sirve cocina internacional moderna en un entorno informal. El bar del vestíbulo sirve vinos portugueses de renombre y bebidas alcohólicas locales hasta altas horas de la noche.

El hotel Zenit Lisboa está a 1 km del Museo Calouste Gulbenkian y a 10 minutos a pie del parque Eduardo VII. El personal de la recepción 24 horas presta servicio de alquiler de coches.",1,0
9,Jupiter Lisboa Hotel,"8,7",€ 876,https://www.booking.com/hotel/pt/jupiter-lisboa.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArSwxK0GwAIB0gIkMWEwYjhkNzUtYmQzNy00NTAwLWEyN2EtYTQ4YzEyNzQ5NDQx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=67a6634721330180&srepoch=1706105233&all_sr_blocks=117333001_221499208_0_34_0&highlighted_blocks=117333001_221499208_0_34_0&matching_block_id=117333001_221499208_0_34_0&sr_pri_blocks=117333001_221499208_0_34_0__87600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Jupiter Lisboa es un hotel de reciente construcción situado a medio camino entre Saldanha y Campo Pequeno y equipado con azotea panorámica con 2 piscinas al aire libre, spa, restaurante portugués y un bar en el vestíbulo.

El Jupiter Lisboa Hotel conserva la arquitectura original de 1906 y ofrece habitaciones amplias insonorizadas y decoradas con imágenes de Lisboa. Las habitaciones incluyen WiFi gratis, aire acondicionado, TV de pantalla plana y escritorio. Todas tienen baño privado con ducha a ras de suelo, secador de pelo y artículos de aseo gratuitos.

Por la mañana, el restaurante del hotel sirve un desayuno buffet con platos calientes. También ofrece un menú variado con platos tradicionales portugueses e internacionales. El bar del vestíbulo, el Lisboa Amada, propone gran variedad de bebidas y aperitivos. También hay servicio de habitaciones 24 horas. En verano está disponible el bar de la azotea, que ofrece bebidas y aperitivos. 

La recepción del Jupiter Lisboa Hotel está abierta las 24 horas y ofrece servicio de traslado, alquiler de coches y bicicletas, venta de entradas, consigna de equipaje y conserjería. El establecimiento también dispone de aparcamiento privado subterráneo por un suplemento. El hotel cuenta con 3 salas de reuniones totalmente equipadas. También hay un centro de fitness 24 horas de acceso gratuito. Asimismo, el Jupiter Lisboa Hotel alberga el BluSpa, que cuenta con piscina de tratamientos cubierta, sauna, baño de vapor y una gran variedad de masajes y tratamientos. Estos servicios no están incluidos en la tarifa del alojamiento.

El establecimiento se encuentra a solo 15 minutos en metro de las zonas comerciales de Baixa Pombalina y Chiado y a menos de 4 km de los estadios de fútbol Estádio da Luz y José Alvalade. También queda a 4 km del aeropuerto internacional de Lisboa.",1,0
10,HF Fenix Lisboa,"8,3",€ 532,https://www.booking.com/hotel/pt/fenix.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArSwxK0GwAIB0gIkMWEwYjhkNzUtYmQzNy00NTAwLWEyN2EtYTQ4YzEyNzQ5NDQx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=67a6634721330180&srepoch=1706105233&all_sr_blocks=3852339_385254319_0_0_0&highlighted_blocks=3852339_385254319_0_0_0&matching_block_id=3852339_385254319_0_0_0&sr_pri_blocks=3852339_385254319_0_0_0__53200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Este hotel para no fumadores está situado en el centro de Marquês de Pombal y ofrece habitaciones insonorizadas con TV de pantalla plana y vistas pintorescas a la ciudad. Además, se encuentra a solo 10 metros de una parada de metro, tiene WiFi gratuita y servicio de alquiler de coches y organiza visitas por la ciudad.

Todas las habitaciones del HF Fénix Lisboa cuentan con un escritorio bien iluminado y TV por cable, que incluye diversos canales deportivos. También disponen de aire acondicionado y su propia caja fuerte.

El restaurante Espaço Jardim sirve cocina portuguesa y europea para el desayuno, el almuerzo y la cena. Por las mañanas hay disponible café Nespresso. En la terraza amueblada del jardín podrá disfrutar de bebidas o aperitivos.

El Fénix Lisboa ofrece un servicio de lavandería con recogida y entrega de ropa. Los huéspedes también pueden hacer uso del aparcamiento interior, abierto durante todo el día y disponible por un suplemento.

El HF Fénix Lisboa se encuentra a 10 minutos en coche de los locales de ocio de Bairro Alto. Está a menos de 100 metros de las tiendas de diseño y los edificios históricos de la avenida da Liberdade. El parque Eduardo VII se halla frente al establecimiento. Además, se puede llegar en metro al aeropuerto internacional Humberto Delgado de Lisboa, situado a 7,7 km.",1,0
