,Hotel Name,Rating,Price,Hotel URL,Descriptions
0,Room Mate Gerard,"8,8",€ 987,https://www.booking.com/hotel/es/room-mate-gerard.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtCT860GwAIB0gIkY2ZiZmFiMDAtNDcyMS00YzQwLTlmY2YtMDE4ODM1NWE3NmNj2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-05&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=48114ccdd7e802f2&srepoch=1706871328&all_sr_blocks=224211802_98757563_0_2_0&highlighted_blocks=224211802_98757563_0_2_0&matching_block_id=224211802_98757563_0_2_0&sr_pri_blocks=224211802_98757563_0_2_0__98690&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Room Mate Gerard en Barcelona ofrece alojamiento con piscina exterior de temporada y centro de fitness.

Cuenta con terraza. Su ubicación, en el distrito del Eixample, hace que esté cerca de atracciones como el Teatro Tívoli y a 700 metros de la calle Portal de l'Angel.

Todas las habitaciones del hotel ofrecen una decoración sencilla pero elegante. Están equipadas con armario, TV de pantalla plana y aire acondicionado. Algunas habitaciones incluyen balcón. Todos los alojamientos tienen baño privado con ducha y artículos de aseo gratuitos.

Se sirve un desayuno buffet a diario.

El personal de la recepción 24 horas habla inglés y español y puede ofrecer información durante la estancia. Otras instalaciones incluyen WiFi portátil.

La Plaza de Cataluña está a 9 minutos a pie del alojamiento. A 13 km se halla el aeropuerto de Barcelona-El Prat."
1,Hotel Arts Barcelona,"8,4",€ 3.037,https://www.booking.com/hotel/es/arts-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtCT860GwAIB0gIkY2ZiZmFiMDAtNDcyMS00YzQwLTlmY2YtMDE4ODM1NWE3NmNj2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-05&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=48114ccdd7e802f2&srepoch=1706871328&all_sr_blocks=1471312_95139427_2_34_0&highlighted_blocks=1471312_95139427_2_34_0&matching_block_id=1471312_95139427_2_34_0&sr_pri_blocks=1471312_95139427_2_34_0__303734&nad_id=24323c50-9d3b-4b3f-9ec1-f7e25bb352a3_0&nad_cpc=0.81&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IlB5UlVqV1o1YjJKVy9iU0pEa0U0TGh3SkJvWWYvTlNGL2JGN0owckZKaER1VGZyTExTNXk0N1gwUjdlbGFqNytMOXl0RStBdU9TK3psNGgzcXl2Y01jVnQvbFZRVXZ6dFRTVndxbkpHSnVEZ0p5R2Y0cHVKb2tzSE1hd1FDR21nU09kaFJpQU9SUDRJWGxKR3E1eUN2S2RWKzIwakJuSnBzeHVtdFFJVmloODRnblkvWnc3OWEzQnhZcmt4RWRGNUJkajhaSVBWS0FYdERQRjF6eTczMEZVNS82SlA5elRtL0tDMCtKQkJ6cGN2QUlOV0RGVm9tN2ZDcWZ0R3Y1dGpiVW4waVJTblJLMEs2MEI0TWM5ZWdMMzJTdFRmbngrNDlDZlBncm5xQVYxTEVQQjRzdjJxRkFmbFZXaVJJVHJtaE5HWVlOWkxNd0l3VGJtYXFBdkJFSWdyR2pxbGVjY0s1RTdsWHV0dWRZT1hmcUhYTzE0Vk1QWEhySDlUU3Q0S2VVZU1USmVaaWQ3MEx2c1dqYXorOTRoZ0VzbWhMRVRjcHJKVk1URlVyV2VKWnlQKzJONko3SkhtVy9PZk9vYTFjRTZ3OXg4UFY1b3E0eisvTFh6REtyNFQ2SWNlcTQxazRBOWZybXcwRldJclBjeVVlTUVRZ0taeGVqbG9kRWE2WkFJVjVnZDlHcGFLMzhDQ1JrcW1SakhEeWJYcmtUQjRZOHlwKzlIdEY1YVJxdlhiV3RPbEFZTkJPTXd6a05CTkticnVOVDZxZzVENnZzYi9JTGhhQzBWQmRiYzkvS1Z0dW92U0RNdEdDMFBkNi8yWVpsRFI4aDAzQ09lbktYYjJYL1VUcThCMWxXUFdnUmh4cCs1VkFtRDRCZm8zY2psNVdGbUpFbUxCRDMwWm5GODFPTGFXOG5JRTkrcWhqR1h0bjBvMlVEdWJ4ekR6bTdudzFYcmlPZHB5aUxoYU1XYmdFc0Rqb1FPNFFMVFhRbHhWaGV4SW80Y0VqMkttMXowMFhNVm15QzJHcjU4SC9FZm5BbTN0KzJHa014Qml4RzRkTGd6NTVZSGJ1RDMrYWtNRkcxNGVubG1zUVFjdUtzMmUxSnFXYkRsV280ZUluNUZTRUtPOU1aZEY1bzYzOUppSzNHUmM5N253VVBwS0ZNNXJVVjl4Rm9YL1Y0ZU9QRkgwa1RNSGZrR29jWlBPSkcwSWxQK3l4UlBxR2xnMlpNMkd5alRmODh6UDFGcWdieDlqVGlXb01jcytRV3JqalhoTTJRaFI0MGw0VEZWQmVVemo2eGNoM3crVmR3Z3dqcFQ1eVpLTUIxSGx3b2dOWmN0UkpzMUM4bkIybEdmRmY0MXN1RlZ5VVNzbGRWanlmbnNUWEEwNEw5WkJScUQ4UkY4UVFoc0JBUHhpT0RrREZqa3FiMmlNOTBhTHEvTFJkcTBuM01uVGM3b3RZUGhNVFNxVXVTRkY1UWJJc2pBdUJOMWxFbWMzRGJIMGFaMFBacXhJK0RLZ0hwQkFjNWNHaGRnRWRIMGJFVEo5d1lLYWhoK25pbFBHbG82dWtSREczS0luRHNtZWNTbU8ycWtpaEZ5cFBDUHcvM051SWFseEN3Y29KVjI3VUZ2V1M2b1hyNDFWR0g4VU82ZVhKd3AyVUVURVlqY3dHZXR2SEJGcUJUOGlqWE9rNnZ3eHJQVER4YXJIVnF5ZC9ZRWZ6bTlwOEFmbk80bE42WnhNSzljVkxGbkQ5WmtKMXQ2SS92NExqZEtTQ1NaK3BPWDFnLzlheDJGK25mSHAvck5SN1l3ajBXSUkxUENpUmhYaUJHazdSOWN1Wlo3a00vOERlMEJvYy9vclJDSVJWWkFBd2tYblp4MytpWTJFVmFuSzBuSHlOeXYwc1BSem5VYytGZnNZV3ZvOE9wc2psSWJJMlNZWE1qcVBMdnNJVUVSMXpabFZsbDJ2U0s1dlNsdlFiU0ZWb3BMSGp6UjJXelhKOUdOQ0wveElkNmJENUpzZURqVmxHTG53YVFKK292U2F0ZW5oUGwrR0RZaUpHcTJBL1lWK0ZURnpVT0x6OFBpQlcwN3RvUU5tdUZVRDA3YjgwY3Exa2MwbGJORWVRcit4UWt5cklEdHhrSTI5OCt3WkowN3Q3SEZKaXNkVXRkNHE4WFU0N0dJU1QyUkdYYnhIUTJXbXJ3V1JFWm1VVGlHc3Q2VjRnYWNuNjhHK1BpNnBqUWtMK2hqRDhVMmNnejJHVExIVmQ0TkVYd0thMm1yRlFjZ0xHZ3h3dkU1b2FLMWJ1UzBFd25GSTJNOXpHeDRndkJzV0Z5TVArS085UFg3R01ocmdpcnBuSjVzWHdaSm5OL2VERGhNTjlSa25QNFRpNEJvVGJOWkhqMFNyT0FrNVQzc1RkNVZvNWwzK0crWGVVOU9HRThwaFlQamtndDZNSTBqcTZHSHE0ZkFGMHFIdmE0cXRUemRuajRmZDZRQ0RGMm0vei9aNnZoOHVhNDZ1STFQZkQxTWxuU253dzhFeWk0QkZ6TFZhY29xODAreUljcWp6TzJhNUswYlBZMHJLZ0RlMnNRcHdFYzRJeHVXaDFaVk4vMG45YlJYVTdRdDQvRmQ4UnhNMjEzS3NYQ2hGV3FXT283NmxtRmVkOGlZQ3BjN09ueklZemFjVHZSQ0Ivc3VCVkVBaGxhZU1KMDFSUjVwanA5NnQxT2FsY01IZ3oxbEl5QzJDeUJuSDZWbXlSek5Xd0MwdklnT3d0VFl4WHBuYzVZTXBBRHR1amhlc3NSN3Y2Zi9GWVBBbE5VQ3dBZTRBZTNaOVN0cmxGajRWYytuL1IvOWJ0UnJvRzd3UlYwcHdWRWhoaU9oMThhMVl4dmVKNmk0Z3BTNG9xL3d4TXlhV25RVFlEeUhqSDRKbzFZY3oxVmVRSGRLRHQzUzJ5VFJad2J1MlFyeTNaMXFRYUR1MjVlZWZ1V2g1Y0xueUxFb2NhanhRSTA5bnNJdVdWSDZWZzRYTFVNV3JYQ0tBam9wZWI4ZVMxVnhQZS9EZjNzWVRVODFXTk9mM3E5UU5KenBJOGVod3d0ZDlUSTBOalR2WEZ5SnBOWjVENVFLSi9zV0VLVXcvRDRJWWhjNEJVc1N5cjFraUYrY0pZTUxLd1h6NFpxNnJoSDUwbzdNQ21nQkhQaThUR2pVWGFXWnl1ejVXOTRTeG9HQUlsbkwwNFFWNTRNcllyeGt2U29tOVRWWlFTZmRPVHY2aEFZT2dpUjZ0c2xxOHpZelNlM1JMcHVPMSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Este hotel de diseño tiene vistas a la playa de la Barceloneta y al centro de Barcelona y cuenta con 2 piscinas al aire libre y spa de lujo con vistas a la ciudad. El Hotel Arts alberga una colección de arte y un restaurante con 2 estrellas Michelin.

El hotel Arts se halla junto al puerto olímpico de Barcelona, rodeado de tiendas y bares animados. Se encuentra a 250 metros de la playa de la Barceloneta y a 300 metros del parque de la Ciudadela.

Las habitaciones del Arts Hotel incluyen TV de pantalla plana y equipo de música. El baño tiene ducha y bañera independientes.

El restaurante Enoteca del hotel, galardonado con 2 estrellas Michelin, sirve platos excelentes de la cocina mediterránea. El establecimiento alberga otros bares y restaurantes, entre ellos un bar junto a la piscina donde se sirven comidas ligeras en verano.

El Hotel Arts cuenta con peluquería y varias boutiques de moda de lujo. El personal del equipo de conserjería del hotel habla varios idiomas. Hay un centro de negocios totalmente equipado."
2,Hostal la Palmera,"8,6",€ 455,https://www.booking.com/hotel/es/hostal-la-palmera.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtCT860GwAIB0gIkY2ZiZmFiMDAtNDcyMS00YzQwLTlmY2YtMDE4ODM1NWE3NmNj2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-05&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=48114ccdd7e802f2&srepoch=1706871328&all_sr_blocks=39517102_376664648_0_0_0&highlighted_blocks=39517102_376664648_0_0_0&matching_block_id=39517102_376664648_0_0_0&sr_pri_blocks=39517102_376664648_0_0_0__45540&from=searchresults#hotelTmpl,"Este hostal, de ambiente tranquilo, está situado detrás del mercado de La Boquería, a 100 metros de Las Ramblas. El hostal alberga una zona de WiFi gratuita y ofrece habitaciones luminosas y servicio de recepción las 24 horas del día.

Las habitaciones de La Palmera presentan una decoración elegante y tienen parquet flotante. También disponen de aire acondicionado, lavamanos y baño privado o compartido. El hostal proporciona toallas y ropa de cama.

El personal de recepción ofrece té, café y bebidas frías, por un suplemento. A menos de 2 minutos a pie hay numerosos bares, restaurantes y tiendas. La plaza Real se encuentra a 300 metros.

El Hostal la Palmera está situado a 5 minutos a pie de la catedral de Barcelona, en el Barrio Gótico. La Pedrera y la Casa Batlló de Gaudí se encuentran a 20 minutos a pie.

El Hostal la Palmera está situado a 2 minutos a pie de la estación de metro de Liceu. La plaza de Cataluña, donde tienen parada los autobuses directos con destino al aeropuerto de Barcelona-El Prat, se encuentra a 600 metros. El Port Vell está situado a 10 minutos a pie."
3,Hotel Sansi Barcelona,"8,0",€ 702,https://www.booking.com/hotel/es/sansi-barcelona-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtCT860GwAIB0gIkY2ZiZmFiMDAtNDcyMS00YzQwLTlmY2YtMDE4ODM1NWE3NmNj2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-05&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=48114ccdd7e802f2&srepoch=1706871328&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__70174&from=searchresults#hotelTmpl,"Hotel Sansi Barcelona está muy bien situado en el barrio de Eixample, Barcelona, a 7 min a pie de Plaza Cataluña, a 400 metros de Estación de metro Passeig de Gràcia y a 6 min a pie de Casa Batlló. Este hotel de 4 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El alojamiento está a 5 min a pie de Paseo de Gracia y a 600 metros del centro de la ciudad.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con bañera.

Cerca del alojamiento hay puntos de interés como Mercado de la Boquería, Teatro Tívoli y Palacio de la Música Catalana. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 13 km."
4,Hotel Alimara,"8,3",€ 454,https://www.booking.com/hotel/es/hotelalimara.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtCT860GwAIB0gIkY2ZiZmFiMDAtNDcyMS00YzQwLTlmY2YtMDE4ODM1NWE3NmNj2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-05&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=48114ccdd7e802f2&srepoch=1706871328&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__45415&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Hotel Alimara es moderno y está ubicado en el barrio barcelonés de Horta. Cuenta con centro de fitness, jardín central, varias salas de reuniones y habitaciones con TV de pantalla plana.

Todas las habitaciones del Alimara Hotel están equipadas con aire acondicionado y calefacción. Todos los alojamientos disponen de baño privado con secador de pelo.

El restaurante del establecimiento Alimara propone platos de la cocina mediterránea con un toque moderno. Hay menú infantil. El hotel alberga el bar SUMMUM, que cuenta con terraza y ofrece comida, bebidas y aperitivos.

El hotel se halla a 1 minuto a pie de la estación de metro Mundet y a un trayecto de 12 minutos del centro de Barcelona. El emblemático parque Güell de Gaudí queda a 4 paradas desde la estación de metro Mundet."
5,Hostalet de Barcelona,"7,3",€ 423,https://www.booking.com/hotel/es/hostalet-de-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtCT860GwAIB0gIkY2ZiZmFiMDAtNDcyMS00YzQwLTlmY2YtMDE4ODM1NWE3NmNj2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-05&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=48114ccdd7e802f2&srepoch=1706871328&all_sr_blocks=30211906_88497473_0_0_0&highlighted_blocks=30211906_88497473_0_0_0&matching_block_id=30211906_88497473_0_0_0&sr_pri_blocks=30211906_88497473_0_0_0__42292&from=searchresults#hotelTmpl,"Las ​​habitaciones del Hostalet de Barcelona son luminosas y prácticas e incluyen TV y conexión WiFi gratuita. La estación de metro de Hospital Clinic está a 300 metros.

El Hostalet se encuentra a 15 minutos a pie del Paseo de Gracia, una calle famosa que alberga los edificios de Gaudí, La Pedrera y la Casa Batlló.

La estación de metro de Hospital Clinic ofrece conexiones directas con la Sagrada Familia y el estadio de fútbol Camp Nou. La estación de Provença, ubicada a 800 metros, le permitirá acceder fácilmente a la plaza de Cataluña.

Las habitaciones del Hostalet son sencillas y elegantes, e incluyen baño privado. Algunas también disponen de balcón con vistas a la calle o a un patio central. A su llegada, recibirá un obsequio de bienvenida, una botella de agua y un paquete de galletas."
6,Catalonia Atenas,"8,2",€ 709,https://www.booking.com/hotel/es/cataloniatenas.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtCT860GwAIB0gIkY2ZiZmFiMDAtNDcyMS00YzQwLTlmY2YtMDE4ODM1NWE3NmNj2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-05&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=48114ccdd7e802f2&srepoch=1706871328&all_sr_blocks=9059407_372580272_0_2_0&highlighted_blocks=9059407_372580272_0_2_0&matching_block_id=9059407_372580272_0_2_0&sr_pri_blocks=9059407_372580272_0_2_0__70920&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Atenas Catalonia está situado a 3 paradas de metro del centro de Barcelona y tiene una piscina en la azotea con vistas a la cercana torre Agbar y a la Sagrada Familia. Ofrece WiFi gratuita y alberga un gimnasio y un spa con baño turco.

Las habitaciones del Hotel Atenas Barcelona son luminosas, presentan una decoración sencilla y están equipadas con suelo de madera, aire acondicionado, TV vía satélite y nevera pequeña con agua gratuita.

El hotel sirve un desayuno buffet con cocina en vivo. También hay una cafetería y una piscina en la planta 11 con unas vistas espectaculares a la ciudad.

Este hotel se encuentra a poco más de 1 km de la Sagrada Familia y a 15 minutos a pie del centro comercial Glòries.

El Catalonia Atenas proporciona aparcamiento, presta servicio de consigna de equipaje y está a 2 minutos a pie de la estación de metro de Clot y a 200 metros de la estación de tren de Clot, desde donde salen trenes directos al aeropuerto de Barcelona."
7,Ilunion Auditori,"8,2",€ 687,https://www.booking.com/hotel/es/confortel-auditori.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtCT860GwAIB0gIkY2ZiZmFiMDAtNDcyMS00YzQwLTlmY2YtMDE4ODM1NWE3NmNj2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-05&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=48114ccdd7e802f2&srepoch=1706871328&all_sr_blocks=9277401_107323228_0_2_0&highlighted_blocks=9277401_107323228_0_2_0&matching_block_id=9277401_107323228_0_2_0&sr_pri_blocks=9277401_107323228_0_2_0__68704&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Ilunion Auditori, situado a 10 minutos a pie de la estación de tren y de la estación de metro Arc de Triomf, alberga un gimnasio y tiene una piscina de 3 metros de ancho y 5 metros de largo en la azotea. Hay WiFi gratuita en todas las zonas.

Todas las habitaciones del Auditori son modernas y disponen de suelo de madera, aire acondicionado, caja fuerte y TV de pantalla plana con canales vía satélite. El baño privado incluye secador de pelo y artículos de aseo gratuitos.

Este hotel está oficialmente adaptado para personas con discapacidad. Las habitaciones adaptadas para personas con discapacidad o con discapacidad auditiva o visual están disponibles bajo petición.

El Ilunion Auditori sirve un desayuno buffet a diario y elabora platos a la carta con productos de temporada. También se ofrece un menú especial para celíacos y personas con intolerancias. El horario del servicio de habitaciones es limitado y el bar abre por las noches. Además, hay numerosos restaurantes y bares en las zonas cercanas del Eixample, el Born y el Barrio Gótico.

Este establecimiento alberga un gimnasio equipado con máquinas de ejercicio cardiovascular. La piscina de temporada de la azotea está rodeada de tumbonas y ofrece vistas impresionantes a la ciudad.

En la zona de recepción hay ordenadores con conexión a internet gratuita. El famoso Auditorio de Barcelona se halla a 5 minutos a pie del establecimiento, mientras que la basílica de la Sagrada Familia y el parque de la Ciutadella quedan a 1,5 km. Asimismo, este establecimiento facilita aparcamiento privado subterráneo por un suplemento.

Este hotel cuenta con la certificación oficial sobre espacios adaptados para personas con movilidad reducida."
8,Hotel Glòries,"7,9",€ 534,https://www.booking.com/hotel/es/glories.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtCT860GwAIB0gIkY2ZiZmFiMDAtNDcyMS00YzQwLTlmY2YtMDE4ODM1NWE3NmNj2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-05&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=48114ccdd7e802f2&srepoch=1706871328&all_sr_blocks=9144304_387058089_0_2_0&highlighted_blocks=9144304_387058089_0_2_0&matching_block_id=9144304_387058089_0_2_0&sr_pri_blocks=9144304_387058089_0_2_0__53368&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Este hotel moderno está situado a 200 metros de la plaza de toros Monumental de Barcelona y a 12 minutos de la Sagrada Familia. Ofrece habitaciones con aire acondicionado, calefacción, TV vía satélite y conexión Wi-Fi gratuita.

La parada de metro Monumental se encuentra a tan solo 3 minutos a pie del Hotel Glòries y proporciona conexiones directas con la plaza Catalunya en unos 5 minutos.

El hotel es perfecto para visitar el distrito 22@ de la innovación y la torre Agbar. El teatro nacional de Catalunya y la sala de conciertos Auditori están a solo 400 metros.

El Hotel Glòries dispone de recepción las 24 horas y ofrece servicios de alquiler de coches y bicicletas, de cambio de divisa y de venta de entradas."
9,Barcelona with rooms and lofts in front of the tourist metro stop,"7,0",€ 206,https://www.booking.com/hotel/es/casa-nou-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtCT860GwAIB0gIkY2ZiZmFiMDAtNDcyMS00YzQwLTlmY2YtMDE4ODM1NWE3NmNj2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-05&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=48114ccdd7e802f2&srepoch=1706871328&all_sr_blocks=893331107_359716277_2_0_0&highlighted_blocks=893331107_359716277_2_0_0&matching_block_id=893331107_359716277_2_0_0&sr_pri_blocks=893331107_359716277_2_0_0__20600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Barcelona with rooms and lofts in front of the tourist metro stop está en Barcelona, a 7,5 km de Sagrada Familia y a 8,7 km de Parque Güell, y dispone de wifi gratis.

La Pedrera está a 9,4 km del alojamiento, y Casa Batlló está a 10 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 21 km."
10,NH Barcelona Diagonal Center,"7,9",€ 641,https://www.booking.com/hotel/es/nh-diagonal-center.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtCT860GwAIB0gIkY2ZiZmFiMDAtNDcyMS00YzQwLTlmY2YtMDE4ODM1NWE3NmNj2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-05&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=48114ccdd7e802f2&srepoch=1706871328&all_sr_blocks=33678001_94417644_0_2_0&highlighted_blocks=33678001_94417644_0_2_0&matching_block_id=33678001_94417644_0_2_0&sr_pri_blocks=33678001_94417644_0_2_0__64106&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Este hotel de diseño está a 15 minutos de la playa, en el barrio barcelonés de Poblenou, en la zona empresarial de 22@. Desde la estación de metro de Bogatell, a 350 metros, se llega al centro de Barcelona en 25 minutos.

Las modernas habitaciones del NH Barcelona Diagonal Center disponen de TV de pantalla plana con canales vía satélite, escritorio, minibar y caja fuerte. El baño privado incluye artículos de aseo gratuitos y secador de pelo.

El hotel sirve un desayuno buffet.

Hay cafeterías y restaurantes en la rambla de Poblenou, a 10 minutos a pie. El centro comercial Glòries también está a 10 minutos a pie.

Este hotel NH cuenta con recepción 24 horas y centro de negocios. Hay habitaciones e instalaciones adaptadas para personas de movilidad reducida, así como WiFi gratuita en todo el establecimiento.

El aeropuerto de Barcelona está a unos 18 km y el centro de convenciones CCIB, a 3 km. Se ofrece servicio de alquiler de coches y aparcamiento privado por un suplemento."
11,Hostal Balmes Centro,"7,3",€ 413,https://www.booking.com/hotel/es/hostal-centro-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtCT860GwAIB0gIkY2ZiZmFiMDAtNDcyMS00YzQwLTlmY2YtMDE4ODM1NWE3NmNj2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-05&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=48114ccdd7e802f2&srepoch=1706871328&all_sr_blocks=28644610_88635036_0_0_0&highlighted_blocks=28644610_88635036_0_0_0&matching_block_id=28644610_88635036_0_0_0&sr_pri_blocks=28644610_88635036_0_0_0__41296&from=searchresults#hotelTmpl,"El Hostal Balmes Centro ofrece recepción 24 horas, servicio de información turística, conexión WiFi gratuita y consigna de equipaje gratuita. Este establecimiento se encuentra en Barcelona, a 5 minutos a pie del paseo de Gracia y de La Pedrera, una de las obras maestras de Gaudí.

Todas las habitaciones del Hostal Balmes Centro cuentan con TV de pantalla plana, armario, nevera, 1 cama doble o 2 individuales y baño privado o compartido con bañera o ducha, secador de pelo y artículos de aseo gratuitos.

 En los alrededores hay numerosos bares y restaurantes que sirven tapas tradicionales.

El mostrador de información turística del Hostal Balmes Centro permite alquilar coches o bicicletas y organizar excursiones. La plaza de Cataluña y las Ramblas están situadas a 10 minutos a pie, mientras que la Casa Batlló se encuentra a 500 metros.

El aeropuerto de Barcelona El Prat se halla a 17 minutos en coche. Además, a 550 metros del establecimiento hay una estación con servicio regular de trenes hacia el aeropuerto."
